ProjectName,ProjectDeveloper,ProjectOwner,State,County,Latitude,Longitude,Capacity,CurrentPhase,TimelineDays,OnlyCanceled,ArtificialEnd,OperatingDateFirst,PhaseHistory,,,,,,,,,,,,,,,,,,,,,,,
Arlington Wind Farm (MMPA),Minnesota Municipal Power Agency,Minnesota Municipal Power Agency,MN,Sibley,44.608,-94.0803,0.16,Operating,1107,No,No,No,Operating:2/28/2010,Testing:12/31/2009,Under Const:10/10/2009,Proposed:2/17/2007,,,,,,,,,,,,,,,,,,,,
Armadillo Flats,Armadillo Flats Wind Project,Armadillo Flats Wind Project,OK,Garfield,36.3267,-97.6355,247.4,Site Prep,895,No,Yes,No,Site Prep:6/6/2018,Proposed:5/20/2016,,,,,,,,,,,,,,,,,,,,,,
Armenia Mountain,AES Wind Generation,Armenia Mountain Wind,PA,Tioga,41.7556,-76.849,100.5,Operating,1091,No,No,No,Operating:12/18/2009,Canceled:4/8/2009,Under Const:3/31/2009,Proposed:7/10/2008,Proposed:12/23/2006,,,,,,,,,,,,,,,,,,,
Armow Wind,Samsung C&T America,Pattern Energy Group,ON,,44.158,-81.597,180,Operating,1624,No,No,No,Operating:2/22/2016,Under Const:10/28/2014,Permitted:10/9/2013,Proposed:9/12/2011,,,,,,,,,,,,,,,,,,,,
Arner Green Wind Farm,Wind Prospect Developments Ltd,Wind Prospect Developments Ltd,ON,,42.1372,-82.8096,9,Canceled,1800,Yes,No,No,Canceled:4/2/2014,Postponed:3/26/2012,Proposed:4/28/2009,,,,,,,,,,,,,,,,,,,,,
Arran Wind Energy Project,American Wind Alliance,American Wind Alliance,ON,,44.3993,-81.2381,115,Canceled,4466,Yes,No,No,Canceled:3/24/2016,Postponed:12/5/2014,Proposed:1/1/2004,,,,,,,,,,,,,,,,,,,,,
Arranz Wind Capitol I,Energos,Energos,TX,Dickens,33.5749,-100.8132,200,Canceled,2504,Yes,No,No,Canceled:12/28/2016,Postponed:11/25/2014,Proposed:2/19/2010,,,,,,,,,,,,,,,,,,,,,
Arranz Wind Tuxedo I,Energos,Energos,TX,Jones,32.9252,-100.049,209.6,Canceled,2323,Yes,No,No,Canceled:6/30/2016,Postponed:11/25/2014,Proposed:2/19/2010,,,,,,,,,,,,,,,,,,,,,
Arriba Wind Farm,Nereo GC Lincoln,Nereo GC Lincoln,CO,Lincoln,39.388,-103.32,80,Proposed,797,No,Yes,No,Proposed:8/26/2016,,,,,,,,,,,,,,,,,,,,,,,
Arrow Rock Wind (MT),Arrow Rock Wind,Arrow Rock Wind,MT,Wheatland,46.5908,-109.7779,19.5,Canceled,624,Yes,No,No,Canceled:4/13/2007,Proposed:7/28/2005,,,,,,,,,,,,,,,,,,,,,,
Asbury Park,Winergy Power,Winergy Power,NJ,Offshore,40.2803,-73.8953,343,Canceled,2093,Yes,No,No,Canceled:12/11/2008,Postponed:3/25/2005,Proposed:3/20/2003,,,,,,,,,,,,,,,,,,,,,
Ashford Wind Power Project,Ashford Wind Farm,Ashford Wind Farm,NY,Cattaraugus,42.4497,-78.6658,19.5,Canceled,1442,Yes,No,No,Canceled:11/27/2012,Postponed:2/3/2011,Proposed:12/16/2008,Feasibility:6/22/2005,,,,,,,,,,,,,,,,,,,,
Ashtabula County Wind Farm,Apex Clean Energy,Apex Clean Energy,OH,Ashtabula,41.9087,-80.739,50,Canceled,1169,Yes,No,No,Canceled:10/28/2014,Proposed:8/16/2011,Feasibility:3/14/2010,,,,,,,,,,,,,,,,,,,,,
Ashtabula Wind Farm,Ashtabula Wind,Ashtabula Wind,ND,Barnes,47.0975,-97.9106,196.5,Operating,318,No,No,No,Operating:12/1/2010,Under Const:10/5/2010,Operating:10/1/2009,Under Const:6/27/2009,Proposed:3/20/2009,Operating:11/30/2008,Under Const:6/27/2008,Permitted:5/31/2008,Proposed:1/17/2008,,,,,,,,,,,,,,,
Aspen Cirque Snowmass Wind,Aspen Skiing Co,Aspen Skiing Co,CO,Pitkin,39.1955,-106.9392,5.1,Canceled,680,Yes,No,No,Canceled:5/4/2010,Proposed:6/23/2008,,,,,,,,,,,,,,,,,,,,,,
Aspen Mountain Wind,Evergreen Wind Power Partners,Evergreen Wind Power Partners,WY,Sweetwater,41.3659,-109.106,160,App Pending,2565,No,Yes,No,App Pending:11/20/2011,Proposed:10/24/2011,,,,,,,,,,,,,,,,,,,,,,
Aubanel Wind & Solar Project,Cannon Power,Cannon Power,BCN,,32.5874,-116.0968,100,Canceled,2234,Yes,No,No,Canceled:11/20/2014,Proposed:5/20/2010,Proposed:10/8/2008,,,,,,,,,,,,,,,,,,,,,
August Wind Energy,August Wind Energy,August Wind Energy,IA,Taylor,40.765,-94.476,1.7,Operating,47,No,No,No,Operating:2/1/2017,Proposed:12/16/2016,,,,,,,,,,,,,,,,,,,,,,
Aulac Wind Farm,Acciona Wind Energy Canada,Acciona Wind Energy Canada,NB,,45.8716,-64.2812,64.5,Canceled,2316,Yes,No,No,Canceled:6/1/2014,Postponed:3/20/2009,Proposed:1/28/2008,,,,,,,,,,,,,,,,,,,,,
Aurora County Wind,Aurora County Wind,Aurora County Wind,SD,Aurora,43.722,-98.654,20.7,Under Const,1119,No,Yes,No,Under Const:5/1/2018,App Pending:3/1/2018,Proposed:10/9/2015,,,,,,,,,,,,,,,,,,,,,
Autoliv Nissin Wind Project,OneEnergy,OneEnergy,OH,Hancock,41.0683,-83.6153,1.5,Proposed,217,No,Yes,No,Proposed:3/29/2018,,,,,,,,,,,,,,,,,,,,,,,
Auwahi Wind Project,Auwahi Wind Energy,Auwahi Wind Energy,HI,Maui,20.5973,-156.3184,24,Postponed,2372,No,No,No,Postponed:6/12/2018,Proposed:3/18/2013,Operating:12/27/2012,Under Const:3/1/2012,Permitted:11/9/2011,App Pending:4/7/2011,Proposed:6/30/2006,,,,,,,,,,,,,,,,,
Avalon Wind Project,Avalon Wind,Avalon Wind,CA,Kern,34.9545,-118.2918,153,Postponed,3062,No,Yes,No,Postponed:7/26/2016,Permitted:12/11/2012,App Pending:12/12/2011,Proposed:6/14/2010,,,,,,,,,,,,,,,,,,,,
B&B Panhandle Wind,Infigen Wind Partners US,Babcock & Brown Renewable Holdings,TX,Carson,35.3895,-101.0939,1001,Canceled,2330,Yes,No,No,Canceled:12/17/2013,Postponed:8/13/2012,Proposed:8/1/2007,,,,,,,,,,,,,,,,,,,,,
B&W Pantex Wind,Babcock & Wilcox Technical Services Pantex,Babcock & Wilcox Technical Services Pantex,TX,Potter,35.2756,-101.5214,14.685,Canceled,1311,Yes,No,No,Canceled:1/31/2013,Postponed:6/21/2012,Proposed:6/30/2009,,,,,,,,,,,,,,,,,,,,,
Badger Wind Farm,Badger Windpower,Badger Windpower,WI,Iowa,42.9629,-90.3868,30,Operating,530,No,No,No,Operating:6/25/2001,Under Const:1/22/2001,Proposed:1/12/2000,,,,,,,,,,,,,,,,,,,,,
Baie Des Sables,Cartier Wind Energy,Cartier Wind Energy,QC,,48.704,-67.9041,109.5,Operating,1299,No,No,No,Operating:12/1/2006,Under Const:3/1/2006,App Pending:2/10/2006,Proposed:5/12/2003,,,,,,,,,,,,,,,,,,,,
Baileyville Wind Farm,Baileyville Wind Farm,Baileyville Wind Farm,IL,Ogle,42.1743,-89.4751,80,Canceled,3894,Yes,No,No,Canceled:11/15/2013,Permitted:11/2/2011,Postponed:8/28/2008,Permitted:12/20/2005,App Pending:11/7/2005,Proposed:3/19/2003,,,,,,,,,,,,,,,,,,
Baker Ranch Wind Farm,Higher Power Energy,Higher Power Energy,TX,Haskell,33.3225,-99.4979,200,Canceled,1516,Yes,No,No,Canceled:12/7/2012,Proposed:10/1/2012,Site Prep:12/21/2011,Postponed:11/22/2010,App Pending:11/24/2008,Proposed:10/13/2008,,,,,,,,,,,,,,,,,,
Balko II Wind,Apex Clean Energy,Apex Clean Energy,OK,Beaver,36.627,-100.6849,150,Proposed,1389,No,Yes,No,Proposed:1/12/2015,,,,,,,,,,,,,,,,,,,,,,,
Balko Wind Project,EDF Renewable Services,Balko Wind,OK,Beaver,36.6391,-100.6896,300,Operating,660,No,No,No,Operating:8/1/2015,Under Const:1/30/2014,Proposed:10/10/2013,,,,,,,,,,,,,,,,,,,,,
Ball Hill Wind,RES Americas Developments,RES Americas Developments,NY,Chautauqua,42.46,-79.2458,100.05,Proposed,1189,No,Yes,No,Proposed:7/31/2015,,,,,,,,,,,,,,,,,,,,,,,
Ball Hill Windpark,Noble Ball Hill Windpark,Noble Ball Hill Windpark,NY,Chautauqua,42.4417,-79.1205,90,Canceled,911,Yes,No,No,Canceled:3/26/2014,Postponed:11/30/2013,Proposed:9/27/2011,Postponed:8/18/2011,App Pending:10/20/2008,,,,,,,,,,,,,,,,,,,
Banks Island,Alterra Power,Alterra Power,BC,,53.4176,-130.1839,540,Canceled,2206,Yes,No,No,Canceled:5/31/2018,Postponed:5/18/2016,Proposed:5/16/2012,,,,,,,,,,,,,,,,,,,,,
Banks Island North Wind Energy Project,North Coast Wind Energy,Deutsche Bank AG,BC,,53.5828,-130.442,700,Canceled,1531,Yes,No,No,Canceled:1/1/2011,Postponed:4/29/2010,Proposed:1/11/2007,Proposed:10/23/2006,,,,,,,,,,,,,,,,,,,,
